,"main","main","outhouses","outhouses"
,"stone","wood","stone","wood"
"churches",6,3,1,1
"finland",19,22,11,27
"russia",34,29,24,64
"municipal",11,18,9,40
"associations",5,18,7,33
"private",141,908,93,746
"factories",227,1029,164,961
